date,IPO_elasticnet,IPO_kernel,IPO_lasso,IPO_linear,IPO_nn,IPO_polynomial,IPO_ridge,OLS_elasticnet,OLS_kernel,OLS_lasso,OLS_linear,OLS_nn,OLS_polynomial,OLS_ridge
2019-01-31,0.015802106096199347,0.060343713906151425,0.016472079591719632,0.008302102253965937,0.007865842930468379,0.0446770477199358,0.01605493412509702,0.01278547193012615,-0.10238854789795718,0.01278547193012615,0.0010236051637890833,0.0035390619201620625,-0.026876539920769847,0.001948239334027142
2019-02-28,0.036742625593314204,-0.017141336561131083,0.04863092098672753,0.05387373257744854,0.04539199721816303,0.14087039565714202,0.06609629159626434,0.059306918879147255,0.10588364312305433,0.059306918879147255,0.0279438459502532,0.08353864946408468,0.06980203854003203,0.03001230595625884
2019-03-29,0.04069418803932595,0.07171548851303705,0.016344600899532907,0.08093281516200118,0.03649337013043709,-0.04137805254216327,-0.00021095709679450764,0.05468809790234686,0.09735899150101728,0.05468809790234686,0.027221390545898866,0.11889847321848655,0.1089287806951952,0.02895399154152953
2019-04-30,-0.0035881721388486033,0.08606223308172073,0.007966809107173276,-0.04807851527614041,-0.0012706894710123942,-0.02922913624208643,0.012144718661288578,-0.024038076146775653,0.047788174867948806,-0.024038076146775653,-0.01043327386234431,0.02655020186243394,0.028883760992813284,-0.011360413721214753
2019-05-31,0.03767227383414265,0.10185819349439003,0.0051302710546562505,0.056428565015742616,0.03602412712595872,0.07885437016145866,0.016651421737753264,0.044294976955155524,-0.039981204186182645,0.044294976955155524,0.05410848345625014,-0.00653870026399855,0.02530815577219133,0.05336546039448058
2019-06-28,-0.0017160345246270466,0.08203847959555056,0.03302948349941927,0.013212660592991587,0.018878688697310568,0.1389667760660725,0.04634970608606043,0.023547643192272948,-0.058268448685913424,0.023547643192272948,-0.009961635778166408,-0.029891402775592282,-0.030520917420301302,-0.007833654799756432
2019-07-31,0.062334462487608905,0.1933658690615792,0.022888607564621737,0.003869080025977585,0.03361647891034298,0.14978094481931775,0.028578608959912412,0.023378943729107187,0.11516647967753053,0.023378943729107187,0.04442314430144557,0.07002990319160653,0.10450511341424386,0.043130452763594895
2019-08-30,-0.032642651354116814,-0.02215439169516715,-0.01866181112382949,0.00682049933609539,-0.021448953261663347,-0.1389508105220081,-0.02421680362526448,-0.008453705023273103,0.0341281401995179,-0.008453705023273103,-0.02893062643048465,0.05181993272590166,0.009922612306826825,-0.027651363385300266
2019-09-30,-0.025604981943627213,-0.10626559578215063,-0.10559270230252821,-0.018500247794277086,-0.056085164913435646,-0.12372869535395527,-0.0745154827412019,-0.02394261870991382,-0.09807912419791354,-0.02394261870991382,-0.044638088880259066,-0.147100138216597,-0.11140922891392255,-0.04307663829311758
2019-10-31,0.004403858182174675,-0.10174658599074005,-0.04192189799490692,0.03613836957417508,-0.01190872587141306,-0.07426317311082427,-0.05340399185234486,0.004891074415089695,0.09243826270070063,0.004891074415089695,0.016293491915747062,-0.0315845679206333,-0.043922591379359645,0.015572331944245281
2019-11-29,0.07120453159126008,0.08040501978314386,0.057551006512279124,0.04882168334513175,0.06100383763864484,0.05504316841284041,0.047668383337509834,0.05142352710991921,0.13373115905721158,0.05142352710991921,0.06726037971432151,0.04165069093931166,0.08484435713594124,0.0661545108154662
2019-12-31,-0.04457273883954719,0.11872266411235827,-0.021042067292291057,-0.024861092638832266,-0.03258998272123573,-0.07841355116178116,0.020656805094301133,0.00030410725882878183,0.08816626590613023,0.00030410725882878183,-0.09507783481994032,-0.04417272780882998,0.06101087508229304,-0.08870432858287908
2020-01-31,-0.05266215641775989,-0.3237048169733785,-0.11208916516393255,-0.09616622828094509,-0.08136846538799493,-0.20373940093433363,-0.09246051412311757,-0.08363790854044048,-0.15847451596117285,-0.08363790854044048,-0.057486676100557625,0.030406264420198503,-0.010871628762930324,-0.05909058118193197
2020-02-28,0.014112674090688518,-0.046811653548634036,0.049277879294389204,-0.06846688180866083,-0.0072296407483988245,-0.2036051539421382,0.08529365744476998,0.0026785509426643234,0.03761501170651127,0.0026785509426643234,-0.08246742178514266,-0.14879744274104056,-0.01550194925060211,-0.07630117203615247
