model,n_months,mean_cost,ann_return,ann_vol,sharpe,max_drawdown,var_5pct,weight_l1_mean,r2_mean,prob_dominates,mean_diff
IPO_elasticnet,71,-0.001138017897112548,0.18186067795517546,0.1547024080791275,1.17555169446462,0.09488759871257067,0.04629708907382328,3.5264578043868915,-0.4656382687858167,1.0,-0.010445043575618762
IPO_kernel,71,0.07191817159979208,0.24282702630178704,0.36020153685280226,0.674142116170424,0.3883518161182181,0.1259319446519578,11.805238844825938,-0.4960107727300193,0.0,0.06261114592128586
IPO_lasso,71,0.005049346710587175,0.11119119468081691,0.16996656153688,0.6541945290614719,0.226981911928049,0.06518524042709005,3.8183920915726945,-31.257152946057477,0.824,-0.0042576789679190374
IPO_linear,71,0.00513192333381409,0.0939048635040332,0.1687386119613573,0.5565108211601163,0.17898073239193224,0.059990939688978756,3.5248486162411012,-221.21711696372194,0.9046,-0.004175102344692122
IPO_nn,71,0.0008570820157928524,0.13309924195291734,0.15683594147138422,0.848652679380907,0.14565939431648472,0.05182212107673313,3.259103086353499,-0.5281190107499443,0.9988,-0.008449943662713363
IPO_polynomial,71,0.086236060035387,0.06321106962773997,0.43156835289285334,0.14646826905640495,0.6602251100912294,0.16479785880174586,10.846997660788041,-1.5786446892988117,0.0,0.0769290343568808
IPO_ridge,71,0.004063183592680224,0.134780163173691,0.16263457917128074,0.8287300515085754,0.17042383705847586,0.0567832897556865,3.9227295907815374,-0.49108826887603263,0.815,-0.005243842085825987
OLS_elasticnet,71,-0.0009568797883527523,0.13270240035171516,0.1451841751046431,0.9140279941396398,0.12453456518817672,0.04373167311956454,2.8441019714892883,-0.43534510851531005,0.9946,-0.010263905466858965
OLS_kernel,71,0.052418062668623415,0.15869793616395017,0.3129664747640705,0.5070764729148207,0.4379491640541616,0.12762718789586902,9.396708229507913,-0.4677557576045123,0.0,0.04311103699011721
OLS_lasso,71,-0.0009568797883527523,0.13270240035171516,0.1451841751046431,0.9140279941396398,0.12453456518817672,0.04373167311956454,2.8441019714892883,-0.43534510851531005,0.9946,-0.010263905466858965
OLS_linear,71,0.009307025678506211,0.1316122465413163,0.19350127030479206,0.6801621836074166,0.21743536504375502,0.07649467048516723,4.764093909851576,-0.4283772598538042,0.0,0.0
OLS_nn,71,0.03143436844831277,0.0996260223218958,0.25825138407770115,0.38577149422719414,0.35331938915776373,0.14627172357743984,6.895433822162597,-0.4371061656492346,0.0012,0.022127342769806563
OLS_polynomial,71,0.04807891796978517,0.20722467614184226,0.34313865779620156,0.6039094442833604,0.5381521967869718,0.1288826126658439,8.283006406472348,-0.4967833834647873,0.0,0.03877189229127897
OLS_ridge,71,0.007978543087501117,0.13171772693453848,0.1883736158845678,0.6992366012406583,0.20797750612107577,0.07224212900993068,4.56101510254258,-0.4427997125335929,1.0,-0.0013284825910050947
