model,w_mom_12_2,w_mom_1m,w_rev_1d,w_vol_60,w_log_dollar_vol_60,w_Mkt-RF,w_SMB,w_HML,w_RMW,w_CMA,w_Mom,bias
IPO_elasticnet,0.0011904241982847452,0.00016788882203400135,0.003114136401563883,0.003964999690651894,-0.0014555195812135935,0.00031047972152009606,-0.0002452029730193317,-0.0011472381884232163,0.003202796448022127,-0.00014337027096189559,0.0025400673039257526,0.0005056607769802213
IPO_lasso,0.00314748240634799,0.00019199337111786008,0.0021555048879235983,-0.0021692891605198383,-0.002646946581080556,0.00014940675464458764,0.0005043244455009699,0.001891949912533164,0.00031196814961731434,0.0002857925137504935,-0.0007687651086598635,-0.3611786961555481
IPO_linear,-0.002911747433245182,0.0010920497588813305,0.00085815554484725,0.0003132935962639749,-0.0018948828801512718,-0.09321897476911545,0.025949090719223022,-0.08580881357192993,0.09414088726043701,0.1253935843706131,0.2575961649417877,-0.9867145419120789
IPO_ridge,0.004642440006136894,-0.001003981800749898,-0.0027927386108785868,-0.0024590021930634975,0.0005069278995506465,-0.00013249364565126598,6.556037988048047e-06,-2.6503375920583494e-05,-5.932964995736256e-06,3.2046711567090824e-05,9.916907583829015e-05,-0.002928856760263443
OLS_elasticnet,0.0,0.0,-0.0,0.0,-0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,0.012767888605594635
OLS_lasso,0.0,0.0,-0.0,0.0,-0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,0.012767888605594635
OLS_linear,0.00047829674440436065,-0.0004428726388141513,-0.0004214924992993474,0.005420278757810593,-0.004682891070842743,-0.197587788105011,-0.18474435806274414,-1.5983529090881348,-0.0682937353849411,3.214036464691162,-0.25744614005088806,0.014145273715257645
OLS_ridge,0.00044778361916542053,-0.0003785350127145648,-0.0003995338920503855,0.005057720001786947,-0.00436946377158165,-0.0012554386630654335,1.3963718629383948e-05,-0.0007000844925642014,0.00012352717749308795,0.00031396912527270615,0.0004059024213347584,0.012768414802849293
