Date,Close,High,Low,Open,Volume
2000-01-03,3.4221506118774414,3.547468644927093,3.412510787477676,3.537829136380027,1662658
2000-01-04,3.5089077949523926,3.58602667188506,3.441428738154739,3.441428738154739,980030
2000-01-05,3.586028575897217,3.653507668523088,3.4992698327647327,3.508909658018039,913034
2000-01-06,3.5378293991088867,3.6245878251496935,3.508909607909228,3.605308490771127,704746
2000-01-07,3.605308771133423,3.643868074594519,3.5667491518195784,3.5763889776848523,506120
2000-01-10,3.56674861907959,3.67278700361215,3.5571084788014473,3.5956680923559152,472407
2000-01-11,3.5378293991088867,3.663147441464998,3.508909607909228,3.595668349802758,696371
2000-01-12,3.557109832763672,3.595669460995303,3.5281906643323855,3.5281906643323855,606399
2000-01-13,3.5763888359069824,3.663147581107842,3.5667490104238575,3.5667490104238575,667382
2000-01-14,3.557109832763672,3.634228773374112,3.537830492427088,3.605309604942826,738244
2000-01-18,3.5281894207000732,3.5571085789378025,3.4607103319696724,3.537829245396886,812111
2000-01-19,3.5474679470062256,3.586027552871857,3.51854847949648,3.5281886178523663,710329
2000-01-20,3.56674861907959,3.5956680923559152,3.5474686543760052,3.5474686543760052,534464
2000-01-21,3.6438686847686768,3.701707649645588,3.605309374850735,3.63422854143639,1102641
2000-01-24,3.624587297439575,3.672786731853083,3.595667826303077,3.643867260716585,1135710
2000-01-25,3.518547534942627,3.6342256897804535,3.499267895111748,3.605306545886688,716770
2000-01-26,3.4896295070648193,3.5763882377552623,3.4896295070648193,3.5185489786774062,986043
2000-01-27,3.5763888359069824,3.634227788805733,3.528189708491358,3.528189708491358,1039081
2000-01-28,3.4221506118774414,3.557108469326858,3.402870647225211,3.547468644927093,852265
2000-01-31,3.5763888359069824,3.605308628209093,3.4992699161892475,3.5474690436048726,833799
2000-02-01,3.557109832763672,3.5860296329006003,3.537830492427088,3.5860296329006003,506335
2000-02-02,3.557109832763672,3.5763898048058977,3.518550520384862,3.5281906643323855,394889
2000-02-03,3.624587297439575,3.634227121151741,3.5089090970409047,3.528189060317914,867511
2000-02-04,3.460712194442749,3.6149497884514754,3.412512729166167,3.5956701286819945,475199
2000-02-07,3.431790828704834,3.508909748574259,3.422151003202748,3.4703501307131783,419583
2000-02-08,3.4414308071136475,3.537829698123094,3.4317909811832528,3.451070948896792,399613
2000-02-09,3.4125101566314697,3.470349092337795,3.3257511213666997,3.4221499792491907,677689
2000-02-10,3.402872323989868,3.4414319564418814,3.345033349091132,3.402872323989868,605970
2000-02-11,3.3643107414245605,3.3932305252484256,3.3257511349436215,3.3835907025913516,338415
2000-02-14,3.4125101566314697,3.4510697629549947,3.3739508661605866,3.3835906887783076,579558
2000-02-15,3.4703495502471924,3.508909161658622,3.451070218320502,3.451070218320502,689070
2000-02-16,3.4125101566314697,3.470349092337795,3.364310727690224,3.4607095855727152,499678
2000-02-17,3.354671001434326,3.4125102546547064,3.31611170985584,3.4125102546547064,571827
2000-02-18,3.2486324310302734,3.325751009375144,3.229352786444056,3.316111502934666,689500
2000-02-22,3.2389943599700928,3.306473468358537,3.2293545324650013,3.267913842485368,255315
2000-02-23,3.1811540126800537,3.238992952578711,3.1618740501945037,3.238992952578711,324458
2000-02-24,3.1329562664031982,3.2100752180676864,2.9787183630742216,3.2100752180676864,696371
2000-02-25,3.075115919113159,3.171514486770346,3.0558359528995416,3.0847557442936053,681555
2000-02-28,3.1329562664031982,3.15223624120897,3.0269181421622178,3.0269181421622178,694009
2000-02-29,3.104036569595337,3.1425958809889822,3.046196970799243,3.1425958809889822,506764
2000-03-01,3.113675594329834,3.1425953892022034,3.0558363204378582,3.075116288970359,551643
2000-03-02,3.1329562664031982,3.142596411732517,3.0751172895444814,3.1136766074502926,642259
2000-03-03,3.1715152263641357,3.190794881221022,3.1136759459406784,3.1329556007975645,234486
